
20230218	21:24:01	72eb67be-5871-4da8-80a5-10d5dc44a4c9	GET	undefined	/css/style.css
20230218	21:24:02	a784977a-ae70-4adb-99d4-fb84558c6204	GET	undefined	/favicon.ico
20230218	21:24:49	58087471-72ae-4f55-afba-03ea3993c73d	GET	undefined	/subdir
20230218	21:25:05	7ac75ad0-4e9d-4b5a-8f72-0ac256861809	GET	undefined	/subdir/index
20230218	21:25:13	7ec8fa99-82d5-432c-a3db-cd480826905d	GET	undefined	/subdir/test
20230218	21:25:58	79bd4be8-6590-4863-bffc-0085c14d8f43	GET	undefined	/subdir/test1
20230218	21:25:58	b9c54d56-791e-47e9-9b85-e9f29ebf4cd2	GET	undefined	/css/style.css
20230218	21:27:27	62b55d3f-51ab-496c-9d3c-13a7408d20ee	GET	undefined	/subdir/test1
20230218	21:27:27	5bbc8a42-06e0-4bba-9d0e-243f3dcbb530	GET	undefined	/css/style.css
20230218	21:27:28	25750d13-ff50-4f5b-96b7-f7a653c1405b	GET	undefined	/subdir/test1
20230218	21:27:28	5c783282-059c-4777-8413-170255385ec3	GET	undefined	/css/style.css
20230218	21:27:32	eb219d9d-d080-4e6e-b9ab-f53db009ce46	GET	undefined	/subdir/hhh
20230218	21:27:32	69a9d2da-a8a6-44a9-86c9-f9249a8b3e4d	GET	undefined	/css/style.css
20230218	21:28:37	5a3f9878-0b1c-401d-85e4-58ae39fead7b	GET	undefined	/subdir/hhh
20230218	21:28:37	6fda520e-8d75-46b0-baf0-d50a96510206	GET	undefined	/css/style.css
20230218	21:28:46	41707a9b-9704-439e-841e-3cba188229cd	GET	undefined	/subdir/aaa
20230218	21:28:46	339022fc-215d-4ef2-b443-4cc66e3a581b	GET	undefined	/css/style.css
20230218	21:40:42	dce88829-7821-4c6b-aed7-9566d0f59a29	GET	undefined	/
20230218	21:40:42	f5b7ab20-2ee1-4a93-810b-47e2237fb074	GET	undefined	/css/style.css
20230218	21:41:09	edb2027d-92ec-4b0c-b065-8cc15191cb73	GET	undefined	/new-page
20230218	21:41:09	d6121372-4339-4ca1-85e0-1f9042febc4b	GET	undefined	/css/style.css
20230218	21:41:27	f767008d-a18c-481c-8881-3a5908c80a6f	GET	undefined	/new-page.html
20230218	21:41:27	5ef54efd-74ca-4c4b-85be-0a1be9a5bd80	GET	undefined	/css/style.css
20230218	21:41:27	d3fdf9a9-3037-4e1a-b143-02e9c927f426	GET	undefined	/img/img1.jpg
20230218	21:41:36	fd03a0a7-51da-4cd1-afd8-ed09054f3d38	GET	undefined	/old-page.html
20230218	21:41:36	b0202141-6c54-4f2a-b9c6-aec611b1a2d7	GET	undefined	/new-page.html
20230218	21:41:36	a90da4f6-4f11-45c6-afd2-5e5402e39035	GET	undefined	/css/style.css
20230218	21:41:36	21d6e6fb-6ce6-4178-b9c5-6cdaa0a1a840	GET	undefined	/img/img1.jpg
20230218	21:43:21	0d760317-7459-4b68-be62-8b4dce631d8e	GET	undefined	/new-page
20230218	21:43:22	5cfc8f1c-bee8-4a9d-bf64-12f6baa844b8	GET	undefined	/css/style.css
20230218	21:43:22	75947443-7c38-450e-a4bb-9bf01f72c026	GET	undefined	/img/img1.jpg
20230218	21:43:30	bef48792-e704-4c3b-8b3f-517af20b3fcd	GET	undefined	/new-page.html
20230218	21:43:31	67de4167-5b32-4f19-92da-e0de099a4315	GET	undefined	/css/style.css
20230218	21:43:31	70af8184-1211-4436-b8c2-33675160905c	GET	undefined	/img/img1.jpg
20230218	21:43:34	6f845caa-c82d-4a61-8c47-971360cdf982	GET	undefined	/new-page.htm
20230218	21:43:34	4a64c554-6b29-42d4-b0f1-3f5e542a83d4	GET	undefined	/css/style.css
20230218	21:43:38	817e42b0-96b2-4b5c-b6cf-96cf4e1a5f0f	GET	undefined	/new-page.ht
20230218	21:43:38	5d87db7e-1d9b-4cd2-bcab-b50b88ffecb7	GET	undefined	/css/style.css
20230218	22:15:42	1b552de9-8cad-451f-9cf4-9e9bea1a27ff	GET	undefined	/employees
20230218	22:19:00	0421977a-14e2-4857-bb53-0287cb57c682	POST	undefined	/employees
20230218	22:21:35	be0f7bfc-7fc9-4c86-87b3-0e883ae9e9d0	POST	undefined	/employees
20230218	22:25:34	d79e8e8c-3f54-47e7-bfb3-f8e535a809d9	PUT	undefined	/employees
20230218	22:27:18	a662d66d-1a1e-4d5b-a63f-5102eda0c902	DELETE	undefined	/employees
20230218	22:27:57	eccef05c-12ed-42b3-882b-61fef65727c9	GET	undefined	/employees/1
20230220	21:24:52	ae712838-0aa0-4c53-b9ed-f3776e2acfb9	DELETE	undefined	/employees
20230220	21:25:35	15b25e9b-f205-42a7-8417-81d3c7c5dee0	GET	undefined	/employees
20230220	21:25:37	05c4bdb6-4d04-4171-a8ad-0ba3c9a9582f	GET	undefined	/employees
20230220	21:25:41	64e573ff-8202-498b-b33f-effaff497d57	GET	undefined	/employees
20230220	21:26:16	260b000a-bc9a-4c01-a69f-06fb12e0692d	POST	undefined	/employees
20230220	21:26:27	cf94b8e2-3fca-4112-8eee-0b8104b71e53	POST	undefined	/employees
20230220	21:26:36	3587a0bc-1614-490b-bb52-eba83c580cf6	GET	undefined	/employees
20230220	21:26:40	b842cd5f-93e9-4524-bb0e-5758fa79d12c	GET	undefined	/employees
20230220	21:27:40	4ddd20b5-5cda-4b67-a98c-9c596947c0d8	GET	undefined	/employees
20230220	21:29:28	c03123e3-61c0-4bc0-bb1c-9255c6b274d3	GET	undefined	/employees
20230220	21:29:28	99723d50-e075-409e-912d-09b9187c1ab7	GET	undefined	/employees
20230220	21:29:30	e1c134e2-0bed-42bd-a972-7d6b98f31930	GET	undefined	/employees
20230220	21:29:31	2f1050bd-c148-4c5b-9af3-9d5c2201b36d	GET	undefined	/employees
20230220	21:29:33	0ad61ff9-67b8-4dbc-a610-6ae565cedae4	GET	undefined	/employees
20230220	21:29:34	62448355-9577-4f5a-9adb-78f68cf9a5bd	GET	undefined	/employees
20230220	21:32:41	9d9dfe58-4a56-4cad-ad28-1ae229eb3419	GET	undefined	/employees
20230220	21:33:25	e9a5c26f-da36-4e75-9cd5-75457b50889a	POST	undefined	/employees
20230220	21:33:58	34026dd2-5089-4eed-bbb5-00ca2a609ad0	POST	undefined	/employees
20230220	21:37:09	41e895be-473a-4276-aa06-ccef97fb9034	POST	undefined	/employees
20230220	21:38:05	d7967b2e-9532-434b-b0c2-22a6b233d93f	POST	undefined	/employees
20230220	21:38:06	5eac3dbc-d5f5-4c98-9aad-b7211a8c79f9	POST	undefined	/employees
20230220	21:38:07	a317f46a-73a1-4e09-9ebb-cb292bf86402	POST	undefined	/employees
20230220	21:38:08	78dc8972-939f-4cbd-8166-1f5182c1ebd8	POST	undefined	/employees
20230220	21:38:09	9b0ae403-2536-45e5-98f8-1d9cc0889ca8	POST	undefined	/employees
20230220	21:38:53	69c162cc-fddb-4e57-9c89-0b93ee3a9357	GET	undefined	/employees
20230220	21:41:45	347738aa-e588-4525-b2d5-ce63996fa605	GET	undefined	/employees
20230220	21:41:59	bbbb115a-dff2-4415-9516-c0bf1eb5d641	POST	undefined	/employees
20230220	21:42:00	94f0746c-9b4d-4ccb-9747-8a57dacf9463	POST	undefined	/employees
20230220	21:42:01	95aa7188-9639-4b57-9292-076f3788329f	POST	undefined	/employees
20230220	21:42:02	f6023ece-c872-4c85-a6cd-589c9dee5ebb	POST	undefined	/employees
20230220	21:42:02	d3615991-1a03-42bd-bbbe-2261b7251097	POST	undefined	/employees
20230220	21:42:05	b436a5b3-e2f5-4937-9646-ae9e5f73c1cb	POST	undefined	/employees
20230220	21:42:40	98ad3834-2ba3-4ebc-b189-6c4ecb9ec8bb	POST	undefined	/employees
20230220	21:43:25	a33963d8-060d-4279-b5b2-0e6c5a260f6f	POST	undefined	/employees
20230220	21:44:07	eb04b544-7959-4953-afc4-e3d04950c1ca	POST	undefined	/employees
20230220	21:49:05	6752595e-7cf1-456e-95c7-a06af023ede7	POST	undefined	/employees
20230220	21:49:06	802fb7df-67db-4151-bd4e-0e2438d9aa11	POST	undefined	/employees
